REF_DATE,GEO,DGUID,GeoID (derived),Type of shelter,Target population,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2016,Canada,2016A000011124,11124,Emergency,General - both genders,Number of shelters,Number,223,units ,0,v113743823,1.1.1.1,130,,,,0
2016,Canada,2016A000011124,11124,Emergency,General - both genders,Number of beds,Number,223,units ,0,v113743824,1.1.1.2,5535,,,,0
2016,Canada,2016A000011124,11124,Emergency,General - males,Number of shelters,Number,223,units ,0,v113743825,1.1.2.1,71,,,,0
2016,Canada,2016A000011124,11124,Emergency,General - males,Number of beds,Number,223,units ,0,v113743826,1.1.2.2,4527,,,,0
2016,Canada,2016A000011124,11124,Emergency,General - females,Number of shelters,Number,223,units ,0,v113743827,1.1.3.1,70,,,,0
2016,Canada,2016A000011124,11124,Emergency,General - females,Number of beds,Number,223,units ,0,v113743828,1.1.3.2,2091,,,,0
2016,Canada,2016A000011124,11124,Emergency,Youth,Number of shelters,Number,223,units ,0,v113743829,1.1.4.1,98,,,,0
2016,Canada,2016A000011124,11124,Emergency,Youth,Number of beds,Number,223,units ,0,v113743830,1.1.4.2,1536,,,,0
2016,Canada,2016A000011124,11124,Emergency,Family,Number of shelters,Number,223,units ,0,v113743831,1.1.5.1,32,,,,0
2016,Canada,2016A000011124,11124,Emergency,Family,Number of beds,Number,223,units ,0,v113743832,1.1.5.2,1720,,,,0
2016,Canada,2016A000011124,11124,Transitional Housing,General - both genders,Number of shelters,Number,223,units ,0,v113743833,1.2.1.1,89,,,,0
2016,Canada,2016A000011124,11124,Transitional Housing,General - both genders,Number of beds,Number,223,units ,0,v113743834,1.2.1.2,2810,,,,0
2016,Canada,2016A000011124,11124,Transitional Housing,General - males,Number of shelters,Number,223,units ,0,v113743835,1.2.2.1,59,,,,0
2016,Canada,2016A000011124,11124,Transitional Housing,General - males,Number of beds,Number,223,units ,0,v113743836,1.2.2.2,1654,,,,0
2016,Canada,2016A000011124,11124,Transitional Housing,General - females,Number of shelters,Number,223,units ,0,v113743837,1.2.3.1,36,,,,0
2016,Canada,2016A000011124,11124,Transitional Housing,General - females,Number of beds,Number,223,units ,0,v113743838,1.2.3.2,638,,,,0
2016,Canada,2016A000011124,11124,Transitional Housing,Youth,Number of shelters,Number,223,units ,0,v113743839,1.2.4.1,85,,,,0
2016,Canada,2016A000011124,11124,Transitional Housing,Youth,Number of beds,Number,223,units ,0,v113743840,1.2.4.2,1025,,,,0
2016,Canada,2016A000011124,11124,Transitional Housing,Family,Number of shelters,Number,223,units ,0,v113743841,1.2.5.1,17,,,,0
2016,Canada,2016A000011124,11124,Transitional Housing,Family,Number of beds,Number,223,units ,0,v113743842,1.2.5.2,689,,,,0
2016,Canada,2016A000011124,11124,Violence Against Women,General - females,Number of shelters,Number,223,units ,0,v113743843,1.3.3.1,455,,,,0
2016,Canada,2016A000011124,11124,Violence Against Women,General - females,Number of beds,Number,223,units ,0,v113743844,1.3.3.2,6749,,,,0
2016,Newfoundland and Labrador,2016A000210,10,Emergency,General - both genders,Number of shelters,Number,223,units ,0,v113743845,2.1.1.1,2,,,,0
2016,Newfoundland and Labrador,2016A000210,10,Emergency,General - both genders,Number of beds,Number,223,units ,0,v113743846,2.1.1.2,24,,,,0
2016,Newfoundland and Labrador,2016A000210,10,Emergency,General - males,Number of shelters,Number,223,units ,0,v113743847,2.1.2.1,0,,,,0
2016,Newfoundland and Labrador,2016A000210,10,Emergency,General - males,Number of beds,Number,223,units ,0,v113743848,2.1.2.2,0,,,,0
2016,Newfoundland and Labrador,2016A000210,10,Emergency,General - females,Number of shelters,Number,223,units ,0,v113743849,2.1.3.1,0,,,,0
2016,Newfoundland and Labrador,2016A000210,10,Emergency,General - females,Number of beds,Number,223,units ,0,v113743850,2.1.3.2,0,,,,0
2016,Newfoundland and Labrador,2016A000210,10,Emergency,Youth,Number of shelters,Number,223,units ,0,v113743851,2.1.4.1,2,,,,0
2016,Newfoundland and Labrador,2016A000210,10,Emergency,Youth,Number of beds,Number,223,units ,0,v113743852,2.1.4.2,17,,,,0
